name,url,search_query,manual_status
Makhanwala | Family Restaurant | Best Restaurant in Indore | Pure Veg Restaurant,https://www.google.com/maps/place/Makhanwala+%7C+Family+Restaurant+%7C+Best+Restaurant+in+Indore+%7C+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3962fd000ea2c47f:0x8549300e22d12cec!8m2!3d22.7182751!4d75.8829961!16s%2Fg%2F11x6dt5f_m!19sChIJf8SiDgD9YjkR7CzRIg4wSYU?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Oakaz Restaurant,https://www.google.com/maps/place/Oakaz+Restaurant/data=!4m7!3m6!1s0x3962fd3b93490065:0x1c5e002bff6a6751!8m2!3d22.7184605!4d75.8835823!16s%2Fg%2F124yk8kc7!19sChIJZQBJkzv9YjkRUWdq_ysAXhw?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Al karam Indore kitchen's and restaurants,https://www.google.com/maps/place/Al+karam+Indore+kitchen%27s+and+restaurants/data=!4m7!3m6!1s0x3962fd93c658f3cf:0x5ebc7ae1bca4ab06!8m2!3d22.7136438!4d75.8745217!16s%2Fg%2F11scjqq_vz!19sChIJz_NYxpP9YjkRBqukvOF6vF4?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Coriander Leaf Restaurant,https://www.google.com/maps/place/Coriander+Leaf+Restaurant/data=!4m7!3m6!1s0x3962fd2ac51668a9:0xcb43b52ee4f294f0!8m2!3d22.7168298!4d75.8837702!16s%2Fg%2F11l973fgx3!19sChIJqWgWxSr9YjkR8JTy5C61Q8s?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Project Charcoal Rooftop Restaurant,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Dal Bati Surma (Rooftop Restaurant),https://www.google.com/maps/place/Dal+Bati+Surma+%28Rooftop+Restaurant%29/data=!4m7!3m6!1s0x3962fd2e368401c3:0x90f4d8de262f6516!8m2!3d22.7270798!4d75.8840984!16s%2Fg%2F11mwd728x4!19sChIJwwGENi79YjkRFmUvJt7Y9JA?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
FLAME BY FIRE & SMOKE,https://www.google.com/maps/place/FLAME+BY+FIRE+%26+SMOKE/data=!4m7!3m6!1s0x3962fdc955e5a5b7:0x2f71a1853094cd02!8m2!3d22.7439376!4d75.8927963!16s%2Fg%2F11sg1tp5c2!19sChIJt6XlVcn9YjkRAs2UMIWhcS8?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Munch N Mime - Indo. Western Food Junction,https://www.google.com/maps/place/Munch+N+Mime+-+Indo.+Western+Food+Junction/data=!4m7!3m6!1s0x3962fdc006d7157f:0x478977a36059b2cb!8m2!3d22.7184114!4d75.8834227!16s%2Fg%2F11vrrrl8lr!19sChIJfxXXBsD9YjkRy7JZYKN3iUc?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Oh Indore Restaurant and cafe,https://www.google.com/maps/place/Oh+Indore+Restaurant+and+cafe/data=!4m7!3m6!1s0x3962fd3212145a29:0x6b370b6a5f75662f!8m2!3d22.6997837!4d75.8667614!16s%2Fg%2F11p0_bdbmx!19sChIJKVoUEjL9YjkRL2Z1X2oLN2s?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Aarambh Restaurant and Banquet,https://www.google.com/maps/place/Aarambh+Restaurant+and+Banquet/data=!4m7!3m6!1s0x3962fd1fd43153a5:0xb5a50727f97c3c27!8m2!3d22.7013261!4d75.869552!16s%2Fg%2F11vq2c3_8h!19sChIJpVMx1B_9YjkRJzx8-ScHpbU?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Dutt Gurukripa Restaurant,https://www.google.com/maps/place/Dutt+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd3e01f9a8f1:0xee2acafd9d69fa2d!8m2!3d22.7197246!4d75.8768473!16s%2Fg%2F11bwydf8x7!19sChIJ8aj5AT79YjkRLfppnf3KKu4?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Nafees Restaurant,https://www.google.com/maps/place/Nafees+Restaurant/data=!4m7!3m6!1s0x3962fd3801510bbf:0x6d8191294761bb3d!8m2!3d22.7258553!4d75.8879332!16s%2Fg%2F1tk8l_9q!19sChIJvwtRATj9YjkRPbthRymRgW0?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Dawat Restaurant Indore,https://www.google.com/maps/place/Dawat+Restaurant+Indore/data=!4m7!3m6!1s0x3962fdeb36c29743:0xb78dcb50027ee39c!8m2!3d22.7172114!4d75.8771428!16s%2Fg%2F11wq30byqb!19sChIJQ5fCNuv9YjkRnON-AlDLjbc?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
FOODONS : Indore BEST Chole Kulche | Chole Bhature,https://www.google.com/maps/place/FOODONS+:+Indore+BEST+Chole+Kulche+%7C+Chole+Bhature/data=!4m7!3m6!1s0x3962fde24482e597:0x33ac1c5aab744007!8m2!3d22.7244437!4d75.8846727!16s%2Fg%2F11n16nrgr6!19sChIJl-WCROL9YjkRB0B0q1ocrDM?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
MBA THALIWALA,https://www.google.com/maps/place/MBA+THALIWALA/data=!4m7!3m6!1s0x3962fdd818306ff1:0x8d29ce6b3961ed09!8m2!3d22.7266879!4d75.8799462!16s%2Fg%2F11q9m6blbv!19sChIJ8W8wGNj9YjkRCe1hOWvOKY0?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
Indore Kitchen,https://www.google.com/maps/place/Indore+Kitchen/data=!4m7!3m6!1s0x396303652212c735:0x717b2f094a61f41b!8m2!3d22.752761!4d75.883601!16s%2Fg%2F11kfr5nz07!19sChIJNccSImUDYzkRG_RhSgkve3E?authuser=0&hl=en&rclk=1,restaurants in Indore,scraped
